Column,BRAND,REVENUE,UNITS_MOVED
83,ALL OTHER BRANDS,"$748,636.60","194,006.99"
0,NO BRAND LISTED,"$601,919.71","98,698.63"
2703,PRIVATE LABEL,"$446,660.74","144,065.00"
383,BOAR'S HEAD,"$76,011.56","10,083.00"
1257,FRESH EXPRESS,"$38,802.00","9,940.00"
3136,SMITHFIELD,"$33,739.77","3,636.00"
2583,PERDUE,"$32,011.34","4,093.00"
1914,LAND O LAKES,"$31,045.03","6,701.00"
2118,MCCORMICK,"$30,825.56","8,302.00"
1864,KRAFT,"$30,799.08","7,891.00"
1574,HORMEL,"$28,418.66","3,962.00"
2624,PILLSBURY,"$28,112.56","10,518.00"
3214,STARBUCKS,"$26,935.07","3,703.00"
2580,PEPSI,"$23,333.80","5,680.00"
764,COKE,"$23,312.55","6,156.00"
105,AMICK FARMS,"$22,633.87","1,526.00"
2488,OSCAR MAYER,"$21,801.33","3,343.00"
3469,TOSTITOS,"$21,691.34","5,016.00"
2415,OCEAN BONNIE,"$20,707.05","1,166.00"
1681,JIMMY DEAN,"$19,203.59","3,529.00"
2236,MOUNTAIN DEW,"$18,885.41","4,939.00"
552,CAMPBELLS,"$18,672.58","9,866.00"
433,BOUNTY,"$18,070.78","1,482.00"
2577,PEPPERIDGE FARM,"$17,688.54","4,702.00"
1926,LAYS,"$17,325.33","4,723.00"
987,DOLE,"$17,229.99","6,239.76"
966,DIET COKE,"$16,975.09","4,557.00"
1191,FISHER,"$16,216.86","1,694.00"
2153,MICHELOB ULTRA,"$16,145.27",933.00
2972,SARGENTO,"$15,768.74","3,766.00"
662,CHARMIN,"$15,128.22","1,142.00"
341,BIRDS EYE,"$14,925.94","4,764.00"
762,COFFEE MATE,"$14,872.24","3,636.00"
2610,PHILADELPHIA,"$14,780.80","4,079.00"
2324,NATURES OWN,"$14,610.93","4,187.00"
1080,EGGLANDS BEST,"$14,514.26","3,514.00"
1007,DR. PEPPER,"$14,233.20","3,668.00"
518,BUTTERBALL,"$14,137.57","2,592.00"
252,BAREFOOT,"$13,344.67","1,033.00"
3420,THOMAS,"$12,659.42","2,858.00"
1529,HERSHEY S,"$12,597.74","3,862.00"
3428,TIDE,"$12,532.07",923.00
2416,OCEAN SPRAY,"$12,458.95","3,541.00"
492,BUD LIGHT,"$12,280.53",947.00
560,CANADA DRY,"$11,954.66","4,229.00"
3253,STAUFFERS,"$11,604.06","2,302.00"
3088,SIMPLY,"$11,582.04","2,996.00"
1544,HILLSHIRE FARM,"$11,567.26","2,328.00"
933,DEL MONTE,"$11,275.25","5,205.00"
703,CHOBANI,"$11,088.88","5,652.00"
3205,SPRITE,"$10,973.67","3,228.00"
3549,UTZ,"$10,969.49","3,573.00"
1041,DUNKIN DONUTS,"$10,765.95","1,231.00"
3705,WOODBRIDGE,"$10,593.50",653.00
2638,PLANTERS,"$10,590.94","1,388.00"
1828,KINGS HAWAIIAN,"$10,536.22","2,418.00"
143,AQUAFINA,"$10,508.40","1,640.00"
